"id";"AuditType";"Topics";"Idx";"Completed";"Active";"createdAt";"updatedAt"
1;"Behavioral Health Prescribing - Amb";"DX - Appropriate DX Association";"1";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
2;"Behavioral Health Prescribing - Amb";"DX - Conflicting Documentation";"2";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
3;"Behavioral Health Prescribing - Amb";"DX - Documented But Not Reported";"3";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
4;"Behavioral Health Prescribing - Amb";"DX - Not Definitive";"4";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
5;"Behavioral Health Prescribing - Amb";"DX - Primary DX/ DX Sequence";"5";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
6;"Behavioral Health Prescribing - Amb";"DX - Reported But Not Documented";"6";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
7;"Behavioral Health Prescribing - Amb";"DX - Specificity ";"7";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
8;"Behavioral Health Prescribing - Amb";"DX - Supporting Documentation";"8";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
9;"Behavioral Health Prescribing - Amb";"EM - Chief Complaint/Reason for Visit";"9";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
10;"Behavioral Health Prescribing - Amb";"EM - Encounter Type Issue";"10";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
11;"Behavioral Health Prescribing - Amb";"EM - HPI Clarification";"11";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
12;"Behavioral Health Prescribing - Amb";"EM - MDM Clarification";"12";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
13;"Behavioral Health Prescribing - Amb";"EM - Patient Type";"13";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
14;"Behavioral Health Prescribing - Amb";"EM - PE Clarification";"14";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
15;"Behavioral Health Prescribing - Amb";"DX - Appropriate DX Association";"1";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
16;"Behavioral Health Prescribing - Amb";"DX - Conflicting Documentation";"2";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
17;"Behavioral Health Prescribing - Amb";"DX - Documented But Not Reported";"3";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
18;"Behavioral Health Prescribing - Amb";"DX - Not Definitive";"4";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
19;"Behavioral Health Prescribing - Amb";"DX - Primary DX/ DX Sequence";"5";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
